grid,seed,Avg. active res. (MW),Avg. reactive res. (MVar),RMSE PG generators (MW),Mean optimality gap (%),Mean branch thermal violation from (MVA),Mean branch thermal violation to (MVA),Mean branch angle difference violation (radians),Mean Qg violation PV buses,Mean Qg violation REF buses,Mean Qg violation
case14_ieee,42,0.000853467034175992,0.00038078916259109974,0.09135909902153523,0.049257226288318634,0.0,0.0,0.0,0.009149911813437939,0.011247003450989723,0.009569330140948296
case14_ieee,3,0.0007028199615888298,0.0003320706309750676,0.09211069601145432,0.05361694470047951,0.0,0.0,0.0,0.009303538128733635,0.007597099989652634,0.008962252177298069
case14_ieee,17,0.000924755004234612,0.0004367422079667449,0.10347752499735767,0.06015359237790108,0.0,0.0,0.0,0.00977626908570528,0.005967199336737394,0.009014456532895565
case30_ieee,42,0.0010496790055185556,0.0007321955636143684,0.17869849239854416,0.030502844601869583,0.001151254284195602,0.0011356923496350646,0.0,0.0031471361871808767,0.0006270589074119925,0.0027271234430372715
case30_ieee,3,0.0009840283310040832,0.0007061019423417747,0.16297330221802134,0.028041817247867584,0.0012041671434417367,0.0011926032602787018,0.0,0.0026464832480996847,0.0008685176144354045,0.0023501557298004627
case30_ieee,17,0.001128296717070043,0.0007495309109799564,0.14233124273941128,0.031530290842056274,0.001545486506074667,0.0015151372645050287,0.0,0.0032189160119742155,0.001602351781912148,0.0029494885820895433
case57_ieee,42,0.06472043693065643,0.036860592663288116,5.1295912111641355,0.13765496015548706,7.882737804720819e-07,9.720822617964586e-07,0.0,0.02058558166027069,0.0009447219781577587,0.017779747024178505
case57_ieee,3,0.05140424892306328,0.02881823293864727,3.6052735380183774,0.11287030577659607,4.5090177991369274e-07,2.274615781061584e-06,0.0,0.008936013095080853,0.003405127441510558,0.008145886473357677
case57_ieee,17,0.038277022540569305,0.023632513359189034,3.058874202649445,0.09491429477930069,2.6353896487307793e-07,1.7296721921411518e-07,0.0,0.01232620608061552,0.002750933403149247,0.010958313010632992
case118_ieee,42,0.03642617166042328,0.00811777263879776,1.9721150175099342,0.18214885890483856,0.005062632728368044,0.00507196644321084,0.0,0.0021554548293352127,0.0,0.0021155388094484806
case118_ieee,3,0.01117081381380558,0.002832532161846757,1.7274079475222655,0.13894441723823547,0.003641358111053705,0.0036667746026068926,0.0,0.00241287425160408,0.0,0.0023681914899498224
case118_ieee,17,0.01797565445303917,0.004483649041503668,1.7834719134643902,0.1676466166973114,0.004407372325658798,0.00442260829731822,0.0,0.001608941936865449,0.0,0.001579146832227707
case500_goc,42,0.07300211489200592,0.027255842462182045,2.6076598783873863,0.33787015080451965,0.0016855921130627394,0.00165797327645123,0.0,0.0005428409785963595,0.0,0.000538037100341171
case500_goc,3,0.07679212838411331,0.02644193544983864,2.49663145097344,0.2589920461177826,0.0018671727739274502,0.001818525604903698,0.0,0.0004977736971341074,0.0004286865296307951,0.0004971624002791941
case500_goc,17,0.060814470052719116,0.024173736572265625,2.59850160997938,0.29895922541618347,0.0021828152239322662,0.0021565707866102457,0.0,0.00033977837301790714,0.0,0.00033677142346277833
case2000_goc,42,0.06152397021651268,0.02392873913049698,1.6171995153303267,0.18053902685642242,2.141216282325331e-05,2.3745875296299346e-05,0.0,0.0017253225669264793,0.0,0.0017156299436464906
case2000_goc,3,0.05170949548482895,0.019054226577281952,1.5503898530257982,0.15517348051071167,2.296143429703079e-05,2.61342829617206e-05,0.0,0.0012824690202251077,0.0,0.001275264541618526
case2000_goc,17,0.06272722035646439,0.023809390142560005,1.5611490131149885,0.17134656012058258,2.0847692212555557e-05,2.3579481421620585e-05,0.0,0.0019401834579184651,0.0,0.001929283607751131
