grid,perturbation,feasibility,model,"PBE (Mean, p.u.)","PBE (Max, p.u.)","PBE (Mean, p.u.) std","PBE (Max, p.u.) std","PBE (Mean, p.u.) latex","PBE (Max, p.u.) latex"
case118,avg,nose,bs64_same_norm_shuffle_train_paper,0.21803924242655437,38.82522020128039,0.07534663717247567,25.837403347292618,2.2\std{0.8\e{-1}},3.9\std{2.6\e{1}}
case118,n,feasible,bs64_same_norm_shuffle_train_paper,0.0027496123562256495,0.06556653499603271,0.0021528806198874858,0.040127964189320166,2.7\std{2.2\e{-3}},6.6\std{4.01\e{-2}}
case118,n-1,feasible,bs64_same_norm_shuffle_train_paper,0.004588887145121893,1.2066534678141276,0.0033998199658582134,0.643112472746161,4.6\std{3.4\e{-3}},1.2\std{0.6\e{0}}
case118,n-2,feasible,bs64_same_norm_shuffle_train_paper,0.005871195544799169,2.011518096923828,0.004272466380056821,1.814771075318186,5.9\std{4.3\e{-3}},2.0\std{1.8\e{0}}
