grid,perturbation,feasibility,model,Avg. active res. (p.u.),Avg. reactive res. (p.u.),"PBE (Mean, p.u.)","PBE (Max, p.u.)"
case118,avg,nose,bs64_same_norm_shuffle_train_paper_seed3,0.0731538740793864,0.02458425998687744,0.084857603708903,12.983702596028644
case118,avg,nose,bs64_same_norm_shuffle_train_paper_seed1,0.1151566982269287,0.03342510143915812,0.12991607348124187,15.356969807942706
case118,avg,nose,bs64_same_norm_shuffle_train_paper_seed2,0.16146225929260252,0.04551300287246704,0.18089228630065915,16.78038045247396
case118,n,feasible,bs64_same_norm_shuffle_train_paper_seed3,0.09255617141723632,0.02120429039001465,0.10038817405700684,3.549269714355469
case118,n,feasible,bs64_same_norm_shuffle_train_paper_seed1,0.14226140022277833,0.0313867974281311,0.15350753784179688,3.724440307617188
case118,n,feasible,bs64_same_norm_shuffle_train_paper_seed2,0.18019092559814454,0.04181695461273193,0.1948427963256836,5.060257263183594
case118,n-1,feasible,bs64_same_norm_shuffle_train_paper_seed3,0.13350010871887208,0.03221414804458618,0.145387601852417,59.650498046875
case118,n-1,feasible,bs64_same_norm_shuffle_train_paper_seed1,0.19026596069335938,0.043767361640930175,0.2063912582397461,10.28772705078125
case118,n-1,feasible,bs64_same_norm_shuffle_train_paper_seed2,0.242758903503418,0.05686245918273926,0.2627179336547852,9.925413818359376
case118,n-2,feasible,bs64_same_norm_shuffle_train_paper_seed3,0.1455795669555664,0.03544548511505127,0.15871607780456545,28.01299560546875
case118,n-2,feasible,bs64_same_norm_shuffle_train_paper_seed1,0.20470848083496093,0.0473515510559082,0.22214275360107424,9.603162841796877
case118,n-2,feasible,bs64_same_norm_shuffle_train_paper_seed2,0.26426897048950193,0.06203792572021485,0.2863015365600586,8.847870483398438
