grid,perturbation,feasibility,model,Avg. active res. (p.u.),Avg. reactive res. (p.u.),"PBE (Mean, p.u.)","PBE (Max, p.u.)"
case118,avg,nose,bs64_same_norm_shuffle_train_paper_seed3,0.05491075277328491,0.014697098533312481,0.061336547533671064,33.97701782226562
case118,avg,nose,bs64_same_norm_shuffle_train_paper_seed1,0.1562397638956706,0.04483829180399577,0.17596414883931477,32.537217203776045
case118,avg,nose,bs64_same_norm_shuffle_train_paper_seed2,0.26971768697102866,0.07593370914459228,0.30252511342366534,18.852783203125
case118,n,feasible,bs64_same_norm_shuffle_train_paper_seed3,0.008760535717010498,0.001997156888246536,0.009500203132629396,0.19376491546630858
case118,n,feasible,bs64_same_norm_shuffle_train_paper_seed1,0.03441474199295044,0.007928809523582459,0.037417392730712894,0.5692966461181641
case118,n,feasible,bs64_same_norm_shuffle_train_paper_seed2,0.07936129570007325,0.017070437669754027,0.0854919719696045,2.499892120361328
case118,n-1,feasible,bs64_same_norm_shuffle_train_paper_seed3,0.012692297697067262,0.003019997179508209,0.013869932889938354,2.6669277954101562
case118,n-1,feasible,bs64_same_norm_shuffle_train_paper_seed1,0.048224072456359866,0.011429992914199829,0.052570128440856935,3.377457580566406
case118,n-1,feasible,bs64_same_norm_shuffle_train_paper_seed2,0.1040550136566162,0.023881697654724122,0.11294625282287597,11.698485107421876
case118,n-2,feasible,bs64_same_norm_shuffle_train_paper_seed3,0.015837284326553343,0.003699549436569214,0.01725693941116333,2.5142420959472656
case118,n-2,feasible,bs64_same_norm_shuffle_train_paper_seed1,0.05717401504516602,0.01367742657661438,0.062405877113342285,3.507873840332031
case118,n-2,feasible,bs64_same_norm_shuffle_train_paper_seed2,0.11932432174682615,0.028051471710205077,0.12980013847351074,6.62193359375
