grid,perturbation,feasibility,model,Avg. active res. (p.u.),Avg. reactive res. (p.u.),"PBE (Mean, p.u.)","PBE (Max, p.u.)"
case118,avg,nose,bs64_same_norm_shuffle_train_paper_seed3,0.16243043581644695,0.026163851420084636,0.1690438938140869,12.864309692382813
case118,avg,nose,bs64_same_norm_shuffle_train_paper_seed1,0.1699185117085775,0.036313156286875405,0.18027370452880861,64.53731933593751
case118,avg,nose,bs64_same_norm_shuffle_train_paper_seed2,0.29200399398803717,0.04688961426417033,0.3048001289367676,39.07403157552083
case118,n,feasible,bs64_same_norm_shuffle_train_paper_seed1,0.0007074070721864701,0.000143922260031104,0.000759536102414131,0.044050955772399904
case118,n,feasible,bs64_same_norm_shuffle_train_paper_seed3,0.002301866859197616,0.000445955097675323,0.00245445966720581,0.040784721374511716
case118,n,feasible,bs64_same_norm_shuffle_train_paper_seed2,0.004620532095432281,0.001071069985628128,0.0050348412990570066,0.11186392784118653
case118,n-1,feasible,bs64_same_norm_shuffle_train_paper_seed1,0.001292462646961212,0.00026634486392140296,0.001396455615758896,0.9824114990234376
case118,n-1,feasible,bs64_same_norm_shuffle_train_paper_seed3,0.003924911618232727,0.0007847236841917029,0.00420645147562027,0.7056836700439453
case118,n-1,feasible,bs64_same_norm_shuffle_train_paper_seed2,0.007454243302345276,0.0017657250165939331,0.008163754343986512,1.931865234375
case118,n-2,feasible,bs64_same_norm_shuffle_train_paper_seed1,0.001645199656486511,0.00035535629838705,0.001790168136358261,0.3129864501953125
case118,n-2,feasible,bs64_same_norm_shuffle_train_paper_seed3,0.00512573778629303,0.001058363243937492,0.005511109232902527,3.9236276245117185
case118,n-2,feasible,bs64_same_norm_shuffle_train_paper_seed2,0.009380074143409727,0.002295940518379211,0.01031230926513672,1.797940216064453
