grid,perturbation,feasibility,model,Avg. active res. (p.u.),Avg. reactive res. (p.u.),"PBE (Mean, p.u.)","PBE (Max, p.u.)"
case118,avg,nose,bs64_same_norm_shuffle_train_paper_seed3,0.20020362854003904,0.035370465914408365,0.21158670425415038,34.80795328776042
case118,avg,nose,bs64_same_norm_shuffle_train_paper_seed2,0.23889739990234374,0.03872862656911214,0.2484106508890788,26.671644694010414
case118,avg,nose,bs64_same_norm_shuffle_train_paper_seed1,0.27854531606038413,0.047014246781667074,0.2919492785135905,33.5097216796875
case118,n,feasible,bs64_same_norm_shuffle_train_paper_seed2,0.002507899701595306,0.00040215514600276897,0.002630922794342041,0.0899425983428955
case118,n,feasible,bs64_same_norm_shuffle_train_paper_seed3,0.004510572850704193,0.000775595605373382,0.004756531119346618,0.10023776054382325
case118,n,feasible,bs64_same_norm_shuffle_train_paper_seed1,0.00690332293510437,0.0018433877825737,0.0076953452825546265,0.14861226081848145
case118,n-1,feasible,bs64_same_norm_shuffle_train_paper_seed2,0.004472033977508545,0.000747240260243415,0.004715164005756378,1.253881912231445
case118,n-1,feasible,bs64_same_norm_shuffle_train_paper_seed3,0.007046420574188233,0.001270903795957565,0.0074716717004776004,1.6633702087402344
case118,n-1,feasible,bs64_same_norm_shuffle_train_paper_seed1,0.010760773420333863,0.00286014199256897,0.011981221437454224,2.201474609375
case118,n-2,feasible,bs64_same_norm_shuffle_train_paper_seed2,0.005750861763954162,0.001001543551683425,0.00608758807182312,1.981708984375
case118,n-2,feasible,bs64_same_norm_shuffle_train_paper_seed3,0.008656663298606872,0.001614976823329925,0.009201516509056092,2.5151344299316407
case118,n-2,feasible,bs64_same_norm_shuffle_train_paper_seed1,0.012819671630859375,0.0034855741262435906,0.014325000047683716,1.953587188720703
