grid,perturbation,feasibility,model,"PBE (Mean, p.u.)","PBE (Max, p.u.)","PBE (Mean, p.u.) std","PBE (Max, p.u.) std","PBE (Mean, p.u.) latex","PBE (Max, p.u.) latex"
case118,avg,nose,bs64_same_norm_shuffle_train_paper,0.17527889675564237,29.618056572808158,0.0435532330484664,10.992880989870757,1.8\std{0.4\e{-1}},3.0\std{1.10\e{1}}
case118,n,feasible,bs64_same_norm_shuffle_train_paper,0.0017251655707756673,0.06794404824574789,0.0012757604954134933,0.06305551671993259,1.7\std{1.3\e{-3}},6.8\std{6.3\e{-2}}
case118,n-1,feasible,bs64_same_norm_shuffle_train_paper,0.0036639413237571712,1.765893586476644,0.0025420283556578877,1.8961185723787732,3.7\std{2.5\e{-3}},1.8\std{1.9\e{0}}
case118,n-2,feasible,bs64_same_norm_shuffle_train_paper,0.005523902575174967,3.240957539876302,0.0037455615388724923,3.850962366777716,5.5\std{3.7\e{-3}},3.2\std{3.9\e{0}}
