grid,perturbation,feasibility,model,Avg. active res. (p.u.),Avg. reactive res. (p.u.),"PBE (Mean, p.u.)","PBE (Max, p.u.)"
case118,avg,nose,bs64_same_norm_shuffle_train_paper_seed3,0.18795772552490234,0.05865264972050984,0.2150843874613444,60.58275207519531
case118,avg,nose,bs64_same_norm_shuffle_train_paper_seed1,0.2803901354471842,0.07939666430155436,0.30861080169677735,45.76527506510416
case118,avg,nose,bs64_same_norm_shuffle_train_paper_seed2,0.36580170949300134,0.05308807531992594,0.3785459009806315,22.543519694010417
case118,n,feasible,bs64_same_norm_shuffle_train_paper_seed1,0.000958094075322151,0.00016507167369127202,0.001012008339166641,0.04678402900695801
case118,n,feasible,bs64_same_norm_shuffle_train_paper_seed2,0.0014626450836658469,0.000227048248052597,0.00153234452009201,0.13193855285644532
case118,n,feasible,bs64_same_norm_shuffle_train_paper_seed3,0.001671053320169448,0.000289704296737909,0.001765276044607162,0.05171549320220947
case118,n-1,feasible,bs64_same_norm_shuffle_train_paper_seed1,0.023645639419555664,0.004493650496006012,0.025177981853485108,18.727939453125
case118,n-1,feasible,bs64_same_norm_shuffle_train_paper_seed3,0.027801804542541504,0.011039401292800904,0.034366352558135985,33.15764404296875
case118,n-1,feasible,bs64_same_norm_shuffle_train_paper_seed2,0.06493899822235108,0.00805250644683838,0.0667534589767456,23.87770751953125
case118,n-2,feasible,bs64_same_norm_shuffle_train_paper_seed1,0.02929438591003418,0.005868713855743408,0.031198298931121825,39.22539794921875
case118,n-2,feasible,bs64_same_norm_shuffle_train_paper_seed3,0.034418559074401854,0.010430033206939695,0.04002134323120117,29.02029296875
case118,n-2,feasible,bs64_same_norm_shuffle_train_paper_seed2,0.0777750015258789,0.010584720373153689,0.08022428512573242,22.211689453125
