grid,perturbation,feasibility,model,Avg. active res. (p.u.),Avg. reactive res. (p.u.),"PBE (Mean, p.u.)","PBE (Max, p.u.)"
case118,avg,nose,bs64_same_norm_shuffle_train_paper_seed3,0.07355676809946697,0.020953524112701415,0.08267992496490478,43.29999104817708
case118,avg,nose,bs64_same_norm_shuffle_train_paper_seed1,0.20691088994344076,0.06594756921132407,0.23794915517171222,9.992880859375001
case118,avg,nose,bs64_same_norm_shuffle_train_paper_seed2,0.2779932657877604,0.08806010564168294,0.3191690190633138,39.631067199707026
case118,n,feasible,bs64_same_norm_shuffle_train_paper_seed3,0.005396620631217957,0.001323959082365036,0.005921177864074707,0.13435943603515624
case118,n,feasible,bs64_same_norm_shuffle_train_paper_seed1,0.030936965942382808,0.0071960300207138065,0.03373542308807373,0.5488646697998046
case118,n,feasible,bs64_same_norm_shuffle_train_paper_seed2,0.0375615119934082,0.008727807402610779,0.04089972496032715,4.138117370605468
case118,n-1,feasible,bs64_same_norm_shuffle_train_paper_seed3,0.008664860725402831,0.002148880064487457,0.009543872475624084,2.1937828063964844
case118,n-1,feasible,bs64_same_norm_shuffle_train_paper_seed1,0.04065597057342529,0.00969627559185028,0.044441967010498046,6.0153045654296875
case118,n-1,feasible,bs64_same_norm_shuffle_train_paper_seed2,0.04978523254394531,0.01227446436882019,0.054620842933654795,8.642514038085938
case118,n-2,feasible,bs64_same_norm_shuffle_train_paper_seed3,0.010645259618759156,0.002629576325416565,0.011713255643844605,1.45036376953125
case118,n-2,feasible,bs64_same_norm_shuffle_train_paper_seed1,0.047370901107788084,0.011371086835861206,0.05176814079284668,2.9463351440429686
case118,n-2,feasible,bs64_same_norm_shuffle_train_paper_seed2,0.05670634746551514,0.014129215478897096,0.062197027206420896,4.924529113769531
